Order_ID,Customer_Name,Customer_Location,Restaurant_Name,Cuisine,Order_Date,Delivery_Time_Minutes,Order_Amount,Delivery_Partner,Payment_Method,Rating,Review_Text,Review_Date,Is_Discount_Applied,Restaurant_Location
ORD000001,Julie Mcguire,Lake Randyland,Fernandez-Robinson,Indian,05-05-2023,20,990.34,Partner D,UPI,2,Action act well last plant rather within seat adult go can capital.,20-11-2024,FALSE,Sanchezhaven
ORD000002,Nancy White,Jonesshire,"Cooley, Summers and Lucas",Chinese,08-05-2023,63,363.19,Partner A,UPI,2,Father issue side almost poor camera.,18-12-2024,TRUE,West Patrickbury
ORD000003,Alexander Paul,Port Benjaminview,Ross LLC,Italian,18-11-2023,113,1409.9,Partner D,UPI,3,Management interesting figure rise spring let push radio goal question wall.,31-03-2024,FALSE,Roberttown
ORD000004,Amy Gregory,Lake Michael,"Hernandez, Reyes and Miller",Chinese,23-08-2023,64,421.28,Partner D,Credit Card,3,Could for full billion resource human president fear reach boy evening.,06-04-2023,TRUE,Richardshire
ORD000005,Mrs. Kristen Ferrell MD,East Rogerfort,Wall LLC,Indian,27-06-2023,12,1838.11,Partner A,Cash,4,Trial major research week sure happen main yet treat player.,15-07-2024,TRUE,Port Donborough
ORD000006,Stephanie Sandoval,South Justinmouth,"Allen, Smith and Martinez",Thai,03-03-2024,68,1053.52,Partner B,UPI,5,Anyone hot card material realize include six food stock house wall those.,12-02-2023,TRUE,Everettport
ORD000007,Dorothy Farrell,Edwardhaven,"Thompson, Williams and Cardenas",Thai,10-10-2024,15,161.02,Partner C,UPI,1,Expert window body nothing author small half throw choose opportunity evening everyone.,24-07-2024,FALSE,Elizabethmouth
ORD000008,Michael Bass,Paulstad,Alvarado PLC,Chinese,19-01-2024,108,1949.17,Partner C,Net Banking,2,Something inside protect pay Congress service tough represent room top baby.,24-06-2023,FALSE,Ricardostad
ORD000009,Alexandria Johns,East Trevorchester,Williams-Brooks,Mexican,14-11-2024,12,1779.11,Partner D,Debit Card,1,Guess short and guess camera down perhaps table.,01-02-2023,FALSE,Washingtonview
ORD000010,Matthew Silva,South Juanside,"Evans, Morris and Warner",Chinese,17-12-2024,73,638.39,Partner C,Debit Card,5,Teach stock court big alone drug.,04-10-2024,FALSE,North Nicholasstad
ORD000011,Paul Baker,Joshuastad,Russell LLC,Indian,07-11-2024,16,627.43,Partner A,Debit Card,4,Feel factor rise certainly share serious information economy act.,14-04-2023,FALSE,North Christina
ORD000012,Michael Myers,Briggsville,Hernandez-Davis,Japanese,09-10-2024,38,1035.88,Partner A,Credit Card,4,Its just sister shoulder capital far wrong note read lead yes professional car.,28-04-2023,TRUE,Markmouth
ORD000013,Jane Bowman,Michaelland,"Perez, Novak and Boyer",Italian,25-10-2024,53,1434.64,Partner C,Credit Card,2,Lot fly agent effort per worry program either process suggest.,10-03-2024,FALSE,Carriechester
ORD000014,David Harrison,New Melissa,"Orozco, Jones and Chambers",American,21-03-2024,120,290.38,Partner B,Debit Card,4,Magazine natural mouth ball everybody a another moment once.,16-03-2024,FALSE,Pughchester
ORD000015,Jessica Ellison,New Regina,"Clark, Cook and Case",Mexican,15-08-2023,44,1413.45,Partner D,Credit Card,1,Six natural four wife economic source want and produce because.,02-09-2023,FALSE,Port Jonathanville
ORD000016,Rebecca Horne,Lake Diana,Chaney LLC,American,21-12-2023,55,622.32,Partner D,Credit Card,3,Able key PM say the blue employee.,19-03-2024,TRUE,New Shane
ORD000017,Cindy Smith,East Bobbystad,Johnson-Lindsey,Japanese,03-08-2023,88,141.58,Partner B,UPI,5,Music discuss say end task today.,13-04-2024,FALSE,Lake Vanessa
ORD000018,Nathaniel Thomas,West Christopher,Booth and Sons,Indian,31-01-2024,88,427.18,Partner B,UPI,2,Although order both federal should bill.,17-08-2024,TRUE,Kruegerborough
ORD000019,Stacey Smith,Lake Shelby,Davis Group,Chinese,30-12-2024,119,1838.07,Partner B,Credit Card,5,Kitchen manage form official hard foot board kid.,04-07-2023,FALSE,Jonathanberg
ORD000020,Ian Horton,Gonzaleston,"Bowman, Richardson and Edwards",Mexican,06-05-2023,74,1151.91,Partner C,UPI,5,Tell begin soon network assume ready move doctor beyond.,10-07-2024,FALSE,Jenniferhaven
ORD000021,Amber Mcpherson,Lake Christina,Castro Group,American,22-04-2023,48,101.65,Partner D,Net Banking,5,Position policy brother theory ball husband concern environment respond many five reason sister.,15-01-2025,TRUE,Karabury
ORD000022,Lori Lopez,North Joshuaborough,Wheeler Inc,Italian,20-07-2024,30,1692.46,Partner B,Credit Card,1,Individual policy open down general however free.,12-01-2025,FALSE,West Thomas
ORD000023,Henry Smith,New Reneeburgh,Stevens Group,Japanese,15-08-2024,34,1853.24,Partner A,Credit Card,3,From reality art project interview understand total.,11-08-2023,TRUE,New Davidfort
ORD000024,Jerry Calderon,Thomasfurt,"Mendez, Smith and Curry",American,06-04-2024,89,1690.24,Partner D,Credit Card,5,Red gas sort family administration spring knowledge sort specific different affect art.,21-10-2023,FALSE,New Christopherstad
